the
boy
who
lived
mr
and
mrs
dursley
of
number
four
privet
drive
were
proud
to
say
that
they
perfectly
normal
thank
you
very
much
last
people
youd
expect
be
involved
in
anything
strange
or
mysterious
because
just
didnt
hold
with
such
nonsense
was
director
a
firm
called
grunnings
which
made
drills
he
big
beefy
man
hardly
any
neck
although
did
have
large
mustache
thin
blonde
had
nearly
twice
usual
amount
came
useful
as
she
spent
so
her
time
craning
over
garden
fences
spying
on
neighbors
s
small
son
dudley
their
opinion
there
no
finer
anywhere
dursleys
everything
wanted
but
also
secret
greatest
fear
somebody
would
discover
it
think
could
bear
if
anyone
found
out
about
potters
potter
sister
hadnt
met
for
several
years
fact
pretended
goodfornothing
husband
undursleyish
possible
shuddered
what
arrived
street
knew
too
never
even
seen
him
this
another
good
reason
keeping
away
want
mixing
child
like
when
woke
up
dull
gray
tuesday
our
story
starts
nothing
cloudy
sky
outside
suggest
things
soon
happening
all
country
hummed
picked
his
most
boring
tie
work
gossiped
happily
wrestled
screaming
into
high
chair
none
them
noticed
tawny
owl
flutter
past
window
at
half
eight
briefcase
pecked
cheek
tried
kiss
goodbye
missed
now
having
tantrum
throwing
cereal
walls
little
tyke
chortled
left
house
got
car
backed
fours
corner
first
sign
something
peculiar
cat
reading
map
second
realize
then
jerked
head
around
look
again
tabby
standing
wasnt
sight
been
thinking

must
trick
light
blinked
stared
drove
road
watched
mirror
said
looking
cats
couldnt
read
maps
signs
gave
himself
shake
put
mind
toward
town
thought
except
order
hoping
get
day
edge
driven
by
else
sat
morning
traffic
jam
help
noticing
seemed
lot
strangely
dressed
funny
clothes
getups
saw
young
supposed
some
stupid
new
fashion
drummed
fingers
steering
wheel
eyes
fell
huddle
these
weirdos
quite
close
enraged
see
couple
werent
why
older
than
wearing
an
emeraldgreen
cloak
nerve
struck
probably
silly
stunt
obviously
collecting
moved
few
minutes
later
parking
back
always
office
ninth
floor
might
harder
concentrate
owls
swooping
broad
daylight
though
down
pointed
gazed
openmouthed
after
sped
overhead
nighttime
however
owlfree
important
telephone
calls
shouted
bit
more
mood
until
lunchtime
hed
stretch
legs
walk
across
buy
bun
from
bakery
forgotten
cloaks
passed
group
next
bakers
know
uneasy
bunch
whispering
excitedly
single
tin
way
clutching
doughnut
bag
caught
words
saying
thats
right
i
heard
yes
harry
stopped
dead
looked
whisperers
better
dashed
hurried
snapped
secretary
not
disturb
seized
almost
finished
dialing
home
changed
receiver
stroked
sure
lots
come
nephew
point
worrying
upset
mention
blame
same
those
afternoon
building
five
oclock
still
worried
walked
straight
someone
door
sorry
grunted
tiny
old
stumbled
seconds
before
realized
violet
seem
being
knocked
ground
contrary
face
split
wide
smile
squeaky
voice
passersby
stare
dont
my
dear
sir
me
today
rejoice
knowwho
has
gone
muggles
yourself
should
celebrating
happy
hugged
middle
off
complete
stranger
muggle
whatever
set
imagining
hoped
approve
imagination
pulled
driveway
thing
improve
spotted
sitting
wall
one
markings
its
behavior
wondered
trying
pull
together
let
determined
wife
nice
told
dinner
doors
problems
daughter
how
learned
word
wont
bed
went
living
room
catch
report
evening
news
finally
birdwatchers
everywhere
reported
nations
behaving
unusually
normally
hunt
night
are
ever
hundreds
sightings
birds
flying
every
direction
since
sunrise
experts
unable
explain
suddenly
sleeping
pattern
jim
mcguffin
weather
going
showers
tonight
well
ted
weatherman
only
acting
oddly
viewers
far
apart
kent
yorkshire
dundee
phoning
tell
instead
rain
promised
yesterday
theyve
downpour
shooting
stars
perhaps
bonfire
early
week
folks
can
promise
wet
britain
place
whisper
carrying
two
cups
tea
er
petunia
havent
your
lately
expected
shocked
angry
stuff
mumbled
funnylooking
sipped
through
pursed
lips
whether
dared
name
casually
dudleys
age
wouldnt
suppose
stiffly
whats
howard
isnt
oh
heart
sinking
horribly
subject
upstairs
while
bathroom
crept
bedroom
peered
front
staring
waiting
do
related
pair
asleep
quickly
lay
awake
turning
comforting
near
kind
mixed
yawned
turned
affect
drifting
sleep
showing
sleepiness
statue
fixed
unblinkingly
quiver
slammed
nor
swooped
midnight
appeared
watching
silently
popped
tail
twitched
narrowed
tall
judging
silver
hair
beard
both
long
enough
tuck
belt
robes
purple
swept
highheeled
buckled
boots
blue
bright
sparkling
behind
halfmoon
spectacles
nose
crooked
broken
least
albus
dumbledore
where
unwelcome
busy
rummaging
other
end
amuse
chuckled
muttered
known
inside
pocket
cigarette
lighter
flicked
open
held
air
clicked
nearest
lamp
pop
flickered
darkness
twelve
times
putouter
lights
whole
pinpricks
distance
beadyeyed
able
pavement
slipped
outer
moment
spoke
smiling
rather
severelooking
woman
square
glasses
exactly
shape
emerald
black
drawn
tight
asked
professor
ive
sit
stiff
brick
mcgonagall
dozen
feasts
parties
here
everyones
impatiently
theyd
careful
somethings
dark
livingroom
ill
bet
dedalus
diggle
weve
precious
celebrate
eleven
lose
heads
downright
careless
streets
swapping
rumors
threw
sharp
sideways
glance
fine
youknowwho
seems
disappeared
us
really
certainly
care
lemon
drop
theyre
sweet
im
fond
coldly
drops
surely
sensible
person
call
persuade
proper
voldemort
flinched
unsticking
notice
gets
confusing
we
keep
frightened
voldemorts
sounding
exasperated
admiring
everyone
knows
youre
noble
use
blushed
madam
pomfrey
liked
earmuffs
shot
hes
reached
anxious
discuss
real
cold
hard
neither
piercing
plain
believe
true
choosing
answer
pressed
is
godrics
hollow
rumor
lily
james
patted
shoulder
mcgonagalls
trembled
kill
power
somehow
broke
astounding
heaven
survive
guess
lace
handkerchief
dabbed
beneath
great
sniff
took
golden
watch
examined
hands
numbers
planets
moving
sense
hagrids
late
id
places
bring
aunt
uncle
family
mean
cant
live
cried
jumping
feet
pointing
find
less
kicking
mother
sweets
best
firmly
will
letter
repeated
faintly
understand
hell
famous
legend
surprised
future
books
written
world
seriously
top
turn
boys
talk
remember
growing
ready
take
opened
mouth
swallowed
course
getting
eyed
hiding
underneath
wise
trust
hagrid
life
grudgingly
pretend
does
tend
low
rumbling
sound
silence
grew
steadily
louder
headlight
swelled
roar
huge
motorcycle
landed
astride
simply
allowed
wild
tangles
bushy
hid
size
trash
lids
leather
baby
dolphins
vast
muscular
arms
holding
bundle
blankets
borrowed
giant
climbing
carefully
destroyed
started
swarmin
flyin
bristol
bent
forward
visible
fast
under
tuft
jetblack
forehead
curiously
shaped
cut
bolt
lightning
myself
above
knee
perfect
london
underground
give
wed
shaggy
scratchy
whiskery
howl
wounded
dog
shhh
hissed
youll
wake
sssorry
sobbed
taking
burying
cc
stand
poor
ter
sad
grip
whispered
patting
gingerly
arm
stepped
laid
gently
doorstep
tucked
harrys
full
minute
three
stood
shoulders
shook
furiously
twinkling
usually
shone
dumbledores
may
go
join
celebrations
yeah
muffled
bike
wiping
streaming
jacket
sleeve
swung
onto
kicked
engine
rose
shall
nodding
once
balls
lamps
glowed
orange
make
slinking
step
heel
swish
breeze
ruffled
neat
hedges
silent
tidy
inky
astonishing
happen
rolled
without
waking
hand
closed
beside
slept
knowing
special
woken
hours
scream
milk
bottles
spend
weeks
prodded
pinched
cousin
meeting
hushed
voices
vanashig
glass
ten
sun
gardens
lit
brass
fateful
photographs
mantelpiece
showed
ago
pictures
pink
beach
ball
differentcolored
bonnets
longer
blond
riding
bicycle
carousel
fair
playing
computer
game
father
kissed
yet
shrill
noise
start
walking
kitchen
frying
pan
stove
dream
feeling
move
bacon
dare
burn
duddys
birthday
slowly
socks
pulling
spider
used
spiders
cupboard
stairs
hall
table
hidden
presents
gotten
television
racing
mystery
fat
hated
exercise
unless
punching
favorite
often
skinny
smaller
skinnier
wear
bigger
knobbly
knees
green
wore
round
scotch
tape
punched
own
appearance
scar
question
asking
crash
parents
died
ask
questions
rule
quiet
vernon
entered
comb
barked
greeting
newspaper
needed
haircut
haircuts
rest
class
difference
eggs
watery
thick
smoothly
angel
pig
wig
plates
egg
difficult
thirtysix
darling
counted
auntie
marges
present
mommy
daddy
thirtyseven
red
coming
began
wolfing
case
scented
danger
thirty
heavily
grabbed
parcel
wants
moneys
worth
atta
rang
unwrap
video
camera
remote
control
airplane
sixteen
games
vcr
ripping
paper
gold
wristwatch
horror
leap
year
friend
adventure
parks
hamburger
restaurants
movies
figg
mad
lady
smelled
cabbage
shed
owned
planned
ought
feel
leg
easy
reminded
tibbies
snowy
paws
tufty
hates
nasty
slug
whatshername
yvonne
vacation
majorca
leave
hopefully
change
maybe
ruins
snarled
blow
listening
zoo
cars
alone
crying
screwed
wailed
dinky
duddydums
cry
mummy
spoil
flinging
ttto
yelled
between
sobs
sp
spoils
grin
gap
mothers
doorbell
lord
frantically
piers
polkiss
scrawny
rat
peoples
backs
hit
hour
luck
taken
aside
warning
putting
business
christmas
honestly
problem
happened
telling
tired
barbers
scissors
short
bald
bangs
hide
horrible
laughed
sleepless
school
already
baggy
taped
sheared
given
grown
force
revolting
sweater
brown
puff
become
fitted
puppet
fit
decided
shrunk
wash
relief
punished
terrible
trouble
roof
kitchens
gang
chasing
surprise
elses
chimney
received
headmistress
buildings
locked
jump
cans
wind
midjump
wrong
spending
somewhere
figgs
cabbagesmelling
complained
complain
council
bank
subjects
roaring
along
maniacs
hoodlums
overtook
remembering
crashed
seat
gigantic
beet
motorcycles
fly
sniggered
talking
shouldnt
matter
cartoon
dangerous
ideas
sunny
saturday
crowded
families
bought
chocolate
ice
creams
entrance
van
hurry
cheap
bad
either
licking
gorilla
scratching
remarkably
starting
bored
animals
fall
hobby
hitting
ate
restaurant
knickerbocker
glory
cream
finish
felt
afterward
lunch
reptile
cool
windows
sorts
lizards
snakes
crawling
slithering
bits
wood
stone
poisonous
cobras
mancrushing
pythons
largest
snake
wrapped
body
vernons
crushed
against
glistening
coils
whined
tapped
budge
rapped
smartly
knuckles
snoozed
tank
intently
boredom
itself
company
drumming
worse
visitor
hammering
visit
raised
level
winked
ceiling
plainly
murmured
hear
anyway
jabbed
boa
constrictor
specimen
bred
youve
brazil
deafening
shout
doing
waddling
ribs
concrete
leaning
leapt
howls
gasped
constrictors
vanished
uncoiling
rapidly
throughout
screamed
running
exits
slid
swiftly
sworn
hissing
keeper
shock
kept
cup
strong
apologized
done
snap
playfully
heels
bitten
swearing
squeeze
death
worst
calming
waited
safely
speak
managed
stay
meals
collapsed
run
brandy
wishing
risk
sneaking
food
miserable
sometimes
strained
memory
during
vision
blinding
flash
burning
pain
imagine
forbidden
younger
dreamed
unknown
relation
strangers
hat
bowed
shopping
rushed
shop
buying
wildlooking
waved
merrily
bus
coat
actually
shaken
weirdest
vanish
closer
everybody
odd
nobody
disagree
3
letters
escape
brazilian
earned
longestever
punishment
summer
holidays
crossed
crutches
glad
escaping
visited
dennis
malcolm
gordon
biggest
stupidest
leader
sport
hunting
wandering
ray
hope
september
secondary
accepted
private
smeltings
stonewall
local
public
toilet
practice
thanks
toilets
sick
ran
july
uniform
leaving
tripping
cake
tasted
paraded
brandnew
maroon
tailcoats
knickerbockers
flat
straw
hats
boaters
carried
sticks
each
teachers
training
gruffly
proudest
burst
tears
ickle
dudleykins
handsome
grownup
cracked
laugh
k
smell
breakfast
metal
tub
sink
dirty
rags
swimming
water
tightened
dyeing
itll
doubted
argue
elephant
skin
wrinkled
noses
banged
smelting
stick
click
mail
slot
flop
doormat
dodged
postcard
marge
vacationing
isle
wight
envelope
bill
twanging
elastic
band
friends
relatives
belong
library
rude
notes
addressed
mistake
h
4
whinging
surrey
heavy
yellowish
parchment
address
ink
trembling
wax
seal
bearing
lion
eagle
badger
surrounding
checking
bombs
joke
handed
yellow
ripped
snorted
disgust
flipped
dad
unfolding
sharply
mine
snatch
whod
writing
sneered
shaking
glancing
faster
within
grayish
white
porridge
grab
reach
line
faint
clutched
throat
choking
goodness
seeming
tap
loudly
croaked
stuffing
roared
scruffs
necks
slamming
promptly
furious
fight
listen
keyhole
won
dangling
ear
stomach
crack
quivering
possibly
sleeps
following
wildly
write
shiny
shoes
pacing
swear
stamp
wheres
squeezed
shortly
angrily
deep
breaths
forced
painful
bedrooms
visitors
toys
trip
monthold
lying
working
firstever
foot
program
canceled
birdcage
parrot
swapped
rifle
shelf
touched
downstairs
bawling
sighed
stretched
whacked
purpose
thrown
tortoise
greenhouse
bitterly
darkly
banging
theres
‘mr
smallest
strangled
wrestle
confused
fighting
straightened
gasping
breath
wheezed
meant
